user_id,transaction_amount,device_location,account_age_days,transaction_hour,previous_failed_attempts,payment_mode,device_type,transaction_type,avg_transaction_amount,is_international,ip_risk_score,login_attempts_last_24h,fraud
U2989,37955.46,Mumbai,1214,5,0,Card,iOS,Withdrawal,24348.61,0,0.694,5,0
U7885,48824.0,Hyderabad,615,10,0,Wallet,iOS,Withdrawal,15518.06,0,0.091,6,0
U6136,8463.61,Chennai,346,2,4,Wallet,Web,Payment,21312.26,0,0.198,5,0
U9243,18212.39,Delhi,43,5,1,NetBanking,Web,Payment,14631.11,0,0.884,8,0
U1141,44761.13,Delhi,938,4,1,Wallet,Android,Transfer,11311.06,0,0.313,1,1
U6195,25580.13,Hyderabad,495,15,3,Wallet,iOS,Transfer,16910.13,0,0.519,3,0
U9063,9182.75,Bangalore,1971,8,4,Wallet,Web,Payment,3540.08,0,0.404,7,0
U9944,30683.92,Bangalore,1312,3,4,Wallet,Web,Payment,29601.16,0,0.057,8,0
U5163,44783.36,Mumbai,1972,14,4,Card,Web,Withdrawal,3156.19,0,0.882,7,1
U7743,13015.84,Bangalore,294,7,3,UPI,Web,Payment,14010.23,0,0.743,1,0
U2963,45005.93,Bangalore,1517,13,0,Card,Web,Withdrawal,13627.45,0,0.541,9,0
U4114,22953.22,Delhi,1111,12,2,Card,Android,Withdrawal,20735.49,0,0.911,6,0
U4268,42489.89,Bangalore,194,23,3,Card,Android,Payment,4716.71,0,0.668,8,0
U9575,27358.18,Mumbai,1898,22,1,UPI,Android,Payment,773.74,0,0.747,4,0
U2709,43780.66,Hyderabad,385,13,2,Wallet,iOS,Withdrawal,16018.9,0,0.179,3,0
U7385,15195.83,Delhi,205,19,2,UPI,Web,Transfer,10582.33,1,0.32,6,0
U3937,41731.19,Delhi,1074,2,2,NetBanking,Android,Withdrawal,5127.8,0,0.178,8,0
U7839,22912.1,Delhi,1890,13,0,Card,Web,Payment,1816.46,0,0.966,9,1
U2553,5208.09,Chennai,668,22,4,NetBanking,Web,Payment,4765.04,0,0.857,3,0
U6871,6112.53,Hyderabad,236,6,0,NetBanking,iOS,Payment,26447.06,0,0.872,1,0
U2794,22727.38,Delhi,1454,0,2,Wallet,iOS,Withdrawal,9779.58,0,0.494,5,0
U6136,3064.59,Hyderabad,887,2,4,Wallet,Web,Transfer,5996.68,0,0.762,7,0
U9508,26800.35,Delhi,656,7,1,NetBanking,Android,Transfer,7668.52,0,0.955,4,0
U2747,6075.76,Hyderabad,526,10,2,Card,Web,Withdrawal,25393.35,0,1.0,1,0
U7051,11718.71,Bangalore,1122,6,3,NetBanking,Web,Payment,4948.97,0,0.002,9,0
U5667,33193.69,Hyderabad,140,1,0,UPI,iOS,Payment,29874.08,1,0.291,6,0
U6048,38653.36,Hyderabad,369,3,3,Wallet,Web,Payment,2185.06,1,0.412,4,1
U8659,32442.82,Bangalore,40,3,4,Wallet,Android,Transfer,13219.9,0,0.014,3,0
U3233,38354.1,Hyderabad,972,11,1,Card,iOS,Withdrawal,6507.29,0,0.915,7,0
U7669,43612.59,Mumbai,239,14,3,NetBanking,Web,Transfer,5095.37,1,0.829,1,0
U6476,43420.21,Delhi,1489,3,0,Wallet,iOS,Transfer,29602.95,0,0.833,9,0
U3487,45918.34,Mumbai,1546,23,0,UPI,Android,Transfer,10154.12,1,0.894,2,0
U5350,30059.57,Chennai,1239,17,0,Card,Web,Transfer,16920.17,0,0.591,6,0
U6360,25657.1,Chennai,1627,11,4,UPI,iOS,Transfer,4087.12,0,0.813,7,0
U6241,37131.38,Delhi,1353,6,0,UPI,iOS,Withdrawal,20374.26,0,0.111,3,0
U7643,22514.51,Mumbai,484,14,2,UPI,Web,Transfer,14654.67,0,0.768,2,0
U6857,7343.75,Bangalore,1139,4,4,Wallet,iOS,Transfer,15010.17,1,0.464,2,1
U7683,35216.37,Bangalore,575,7,3,Card,iOS,Withdrawal,16694.22,1,0.806,2,0
U1861,40264.26,Bangalore,1188,6,3,Wallet,iOS,Withdrawal,2033.21,0,0.041,9,0
U6214,30445.94,Bangalore,633,17,0,Card,Android,Transfer,10246.15,0,0.369,5,0
U8138,9986.54,Hyderabad,1567,0,4,Wallet,Web,Withdrawal,27844.43,0,0.992,3,0
U7487,432.82,Delhi,938,21,3,Card,Android,Payment,22002.67,0,0.713,3,0
U5600,22989.03,Hyderabad,945,9,0,NetBanking,Android,Transfer,18709.62,0,0.295,2,0
U1720,40505.72,Delhi,765,2,0,Card,iOS,Withdrawal,22836.63,0,0.508,2,0
U6725,15083.13,Hyderabad,1401,19,0,Wallet,Web,Withdrawal,2683.54,0,0.238,2,0
U8918,16998.3,Mumbai,206,0,4,NetBanking,iOS,Payment,5458.22,0,0.012,7,1
U5109,765.05,Mumbai,1772,3,2,NetBanking,Web,Withdrawal,8785.43,0,0.279,9,0
U2998,29667.9,Bangalore,438,14,1,Wallet,iOS,Withdrawal,9731.17,0,0.519,5,0
U6582,27232.72,Delhi,1453,14,4,Card,iOS,Payment,7418.09,0,0.239,3,0
U4486,1141.24,Delhi,1576,6,0,Wallet,Web,Payment,16682.56,0,0.689,7,1
U4269,18023.25,Mumbai,932,1,3,UPI,Android,Payment,1339.02,0,0.598,2,0
U6175,5385.71,Chennai,24,8,3,Card,Web,Transfer,3035.46,0,0.44,1,0
U1791,10333.81,Hyderabad,301,7,2,NetBanking,iOS,Withdrawal,22459.62,0,0.389,3,0
U4190,32951.75,Delhi,345,20,4,Card,Web,Withdrawal,19465.32,0,0.904,3,0
U3745,19842.29,Hyderabad,1280,5,1,Card,iOS,Withdrawal,20082.09,1,0.351,6,0
U2564,48790.15,Chennai,1270,18,2,UPI,Web,Transfer,264.97,0,0.481,3,0
U3991,15173.24,Chennai,1710,22,4,UPI,Android,Transfer,23670.82,0,0.096,9,0
U8056,4127.42,Mumbai,570,0,0,UPI,iOS,Withdrawal,2770.59,0,0.489,7,0
U3861,27110.93,Mumbai,1998,14,0,NetBanking,Android,Withdrawal,5675.8,0,0.536,9,0
U5470,44314.78,Delhi,101,11,2,Card,Web,Withdrawal,20275.13,0,0.688,7,0
U7437,5006.92,Delhi,727,7,2,Card,Web,Withdrawal,26696.93,0,0.577,8,1
U9702,38841.01,Bangalore,925,13,4,Wallet,iOS,Withdrawal,29274.62,0,0.068,8,0
U7030,29640.77,Mumbai,1174,16,4,NetBanking,Web,Withdrawal,13127.61,0,0.698,8,0
U4865,19576.33,Hyderabad,836,6,1,Wallet,iOS,Payment,14183.86,0,0.144,8,1
U1274,18484.2,Delhi,1233,0,3,Card,iOS,Payment,16064.0,0,0.478,7,0
U5234,46730.47,Mumbai,1752,5,4,Card,Web,Withdrawal,15313.89,0,0.33,3,0
U1343,32749.8,Hyderabad,346,11,4,UPI,iOS,Transfer,18925.52,0,0.517,2,0
U9389,13791.19,Chennai,641,23,2,NetBanking,Web,Payment,25712.64,0,0.368,3,0
U3341,18202.03,Chennai,1181,20,4,Card,Android,Transfer,16603.25,0,0.467,9,1
U9110,26193.9,Delhi,1260,9,3,Wallet,Web,Transfer,4580.74,0,0.658,1,1
U5247,5388.5,Delhi,633,6,1,NetBanking,iOS,Payment,1699.9,0,0.82,2,0
U9941,8192.8,Chennai,892,5,0,UPI,Android,Transfer,5772.85,0,0.519,8,0
U9723,18428.64,Mumbai,507,23,0,NetBanking,Web,Withdrawal,17362.32,0,0.482,2,0
U6488,42356.09,Mumbai,548,21,4,NetBanking,Web,Transfer,9599.05,1,0.658,1,0
U9012,27690.89,Hyderabad,119,3,2,Wallet,Android,Withdrawal,12223.91,0,0.522,4,0
U1435,42377.03,Mumbai,937,19,4,Wallet,Web,Payment,25059.2,0,0.795,7,0
U6692,11786.92,Bangalore,112,3,1,NetBanking,Web,Withdrawal,17151.81,0,0.224,1,0
U5420,2546.45,Mumbai,1833,0,1,UPI,Web,Transfer,19933.96,0,0.751,9,0
U6590,7440.52,Delhi,806,4,0,Wallet,Android,Transfer,18409.52,0,0.781,6,0
U4824,15897.1,Mumbai,1726,11,3,Wallet,Android,Withdrawal,28649.83,0,0.562,1,0
U8162,4132.18,Delhi,1303,16,1,Card,Android,Withdrawal,14873.59,0,0.526,4,0
U8951,36663.36,Mumbai,903,3,2,NetBanking,Android,Transfer,7929.75,0,0.605,7,0
U7983,24226.83,Mumbai,193,22,2,NetBanking,Android,Transfer,7902.55,0,0.955,8,0
U6204,45283.83,Bangalore,59,9,4,NetBanking,Web,Transfer,9090.97,0,0.728,4,0
U4715,43507.75,Delhi,1715,17,1,UPI,Web,Withdrawal,23480.78,0,0.293,5,0
U8060,27402.24,Delhi,275,15,0,UPI,iOS,Withdrawal,9114.82,0,0.066,1,0
U5208,44906.63,Delhi,1844,16,4,NetBanking,iOS,Withdrawal,435.39,0,0.16,9,1
U6910,47241.05,Mumbai,1554,15,3,Wallet,iOS,Withdrawal,6503.58,0,0.49,9,0
U6746,20500.13,Chennai,1182,22,1,Wallet,Android,Transfer,14843.11,0,0.253,7,0
U3026,45210.48,Delhi,1940,17,4,Card,Web,Payment,21988.44,0,0.853,4,0
U2675,22314.2,Bangalore,1730,14,4,Wallet,iOS,Withdrawal,14059.59,0,0.773,9,1
U3868,23607.74,Chennai,424,14,2,Wallet,Android,Transfer,7833.37,1,0.926,9,1
U2762,38786.49,Mumbai,186,18,3,Wallet,iOS,Transfer,14556.31,0,0.436,7,0
U7829,22974.08,Hyderabad,1144,19,0,UPI,Android,Payment,157.53,0,0.973,8,0
U8470,11307.79,Hyderabad,1782,21,2,NetBanking,Web,Transfer,17332.38,0,0.341,5,0
U7149,43077.83,Bangalore,710,9,2,Card,Android,Transfer,7915.73,0,0.343,8,0
U3874,42104.58,Delhi,81,19,1,Wallet,Android,Payment,2430.24,0,0.763,4,0
U5806,30209.58,Hyderabad,103,6,0,Card,Web,Transfer,25933.06,0,0.802,3,0
U6713,20104.64,Mumbai,1404,12,1,Wallet,Android,Transfer,14983.25,0,0.27,8,0
U2177,47768.97,Delhi,1539,20,2,Card,Android,Withdrawal,2307.04,1,0.879,2,0
U5345,26627.74,Chennai,1018,1,3,Wallet,Web,Withdrawal,7710.71,0,0.13,4,0
U2484,32717.01,Chennai,474,4,1,Wallet,Web,Payment,19476.74,0,0.044,1,0
U6435,41158.04,Bangalore,1685,21,1,NetBanking,Android,Transfer,26449.84,1,0.099,5,0
U2563,14160.68,Chennai,371,5,1,NetBanking,Web,Payment,12703.39,0,0.315,9,0
U7250,29904.23,Mumbai,1200,6,4,Card,iOS,Withdrawal,13232.48,1,0.208,9,0
U8621,3395.33,Bangalore,1982,23,3,Card,Web,Payment,4897.57,0,0.171,3,0
U3196,8479.03,Delhi,1949,12,3,Wallet,iOS,Transfer,21530.31,0,0.711,7,0
U1179,11822.34,Chennai,382,1,4,UPI,iOS,Payment,22981.75,0,0.543,5,0
U6302,45408.78,Mumbai,447,8,1,UPI,Android,Transfer,8239.8,0,0.784,1,0
U8966,5139.52,Bangalore,261,20,1,Card,iOS,Payment,16349.73,0,0.988,7,0
U3113,23071.87,Mumbai,1730,5,1,NetBanking,Android,Payment,5654.6,0,0.872,5,0
U8870,24219.67,Mumbai,157,16,4,Card,Web,Transfer,10685.97,1,0.272,2,0
U1730,18102.12,Bangalore,1768,21,1,Card,Web,Payment,20219.62,0,0.735,9,0
U3566,35418.23,Hyderabad,118,9,3,Card,iOS,Payment,20136.79,0,0.662,5,0
U3935,5355.38,Chennai,88,1,2,Card,Android,Transfer,20916.69,0,0.552,6,0
U2417,36438.11,Bangalore,1093,9,0,NetBanking,Web,Transfer,1427.08,1,0.934,5,0
U6160,28272.85,Hyderabad,1331,8,1,NetBanking,Android,Withdrawal,13689.27,0,0.037,6,0
U8490,1234.2,Bangalore,1727,2,1,UPI,iOS,Payment,21379.7,0,0.835,1,0
U7432,13739.88,Bangalore,1606,22,2,Wallet,Web,Transfer,23676.16,1,0.148,5,0
U7138,19062.13,Chennai,1546,7,1,Card,Web,Payment,29711.9,1,0.092,4,0
U8444,36015.83,Bangalore,1833,17,4,Wallet,Web,Withdrawal,24175.68,0,0.312,2,0
U5669,13285.1,Hyderabad,613,13,4,Wallet,Android,Payment,28477.37,0,0.856,9,0
U8763,2951.28,Hyderabad,1285,22,4,UPI,Android,Transfer,11451.45,0,0.045,8,1
U9691,23201.53,Hyderabad,775,9,3,Card,Android,Withdrawal,152.86,0,0.455,6,0
U3272,36991.18,Delhi,525,6,0,Card,iOS,Withdrawal,14654.28,0,0.607,8,0
U5667,24947.19,Bangalore,1189,3,2,NetBanking,Web,Payment,17392.3,0,0.881,6,0
U6890,7784.33,Delhi,1200,16,1,NetBanking,iOS,Payment,16817.87,0,0.237,2,0
U4413,38020.04,Bangalore,329,21,3,Wallet,Web,Payment,19562.95,1,0.176,3,1
U7685,26096.21,Bangalore,1896,23,4,NetBanking,Web,Withdrawal,10750.32,0,0.402,7,0
U7022,33198.05,Bangalore,1450,5,3,Wallet,Android,Transfer,23511.39,1,0.879,8,0
U8905,48411.26,Mumbai,1970,9,0,Card,Android,Payment,5293.55,0,0.431,1,0
U4983,34849.61,Chennai,207,10,1,UPI,Web,Transfer,6371.04,0,0.457,9,0
U4929,26160.5,Hyderabad,1589,8,2,Wallet,iOS,Withdrawal,5925.03,0,0.278,2,0
U5767,25405.14,Chennai,829,23,4,NetBanking,Web,Withdrawal,24059.17,0,0.608,8,0
U6920,5242.77,Mumbai,1425,20,3,UPI,Web,Transfer,2743.3,0,0.823,7,0
U9359,33847.03,Chennai,1781,23,4,Card,iOS,Withdrawal,2396.4,1,0.194,6,0
U1840,26297.24,Hyderabad,1102,12,0,UPI,iOS,Withdrawal,23330.55,0,0.203,6,0
U9935,20988.18,Mumbai,650,9,0,UPI,Android,Payment,16768.21,0,0.51,5,0
U8650,47980.85,Chennai,1260,10,0,Card,iOS,Withdrawal,27269.58,0,0.966,5,0
U2195,20959.43,Delhi,1970,22,0,UPI,Android,Payment,21435.01,0,0.59,3,0
U7845,25588.21,Mumbai,1311,20,0,Wallet,Android,Payment,9336.73,0,0.065,5,0
U8777,8174.91,Mumbai,314,1,0,NetBanking,Android,Payment,25873.78,0,0.748,7,0
U5727,18691.71,Chennai,1639,12,2,UPI,Web,Transfer,26516.42,0,0.319,4,0
U5101,30341.13,Mumbai,1621,19,3,Wallet,Android,Withdrawal,1275.76,0,0.938,1,0
U6836,14467.1,Chennai,98,6,4,UPI,iOS,Payment,29430.41,0,0.251,2,0
U9560,15199.13,Chennai,1992,10,0,UPI,iOS,Transfer,21212.15,0,0.992,1,0
U1212,41328.2,Delhi,782,0,3,Wallet,Android,Withdrawal,22787.63,1,0.65,8,0
U1606,17969.19,Bangalore,939,15,0,NetBanking,Android,Payment,5317.51,1,0.011,6,0
U7616,27235.65,Chennai,786,21,4,Card,iOS,Payment,18794.83,0,0.694,2,0
U8371,10933.67,Mumbai,905,15,3,NetBanking,Android,Transfer,12802.52,0,0.293,5,0
U7609,7390.79,Delhi,1186,21,3,Wallet,Android,Payment,17181.26,0,0.096,3,0
U4500,10296.73,Bangalore,1058,23,1,Wallet,Android,Payment,21179.89,0,0.164,8,0
U6085,46872.53,Mumbai,1235,7,0,Wallet,Web,Withdrawal,25016.62,0,0.87,7,0
U5318,8759.6,Delhi,924,2,4,UPI,Android,Payment,20290.65,0,0.63,9,0
U5204,20142.91,Delhi,1351,17,2,Card,Android,Transfer,2650.67,0,0.345,7,0
U8254,28718.8,Bangalore,1069,3,2,NetBanking,Android,Payment,15263.55,0,0.201,2,0
U5272,46906.3,Bangalore,1786,9,0,UPI,iOS,Transfer,29281.18,0,0.945,1,0
U4568,26570.34,Chennai,1653,6,3,Card,Android,Payment,17801.18,1,0.301,2,0
U5869,38912.36,Chennai,302,3,0,Wallet,Web,Payment,28388.95,1,0.048,7,1
U5953,11402.12,Delhi,577,4,1,Wallet,Web,Payment,14489.73,0,0.497,4,0
U2818,3438.46,Hyderabad,1187,2,4,Card,Android,Transfer,15255.21,0,0.782,1,0
U1877,19285.63,Bangalore,1515,11,2,UPI,Android,Payment,22836.68,0,0.133,3,0
U6667,49247.21,Hyderabad,854,13,2,NetBanking,Web,Payment,18349.77,0,0.289,5,0
U5011,12875.99,Chennai,1594,12,3,Card,iOS,Transfer,2034.58,0,0.56,2,0
U9269,17191.21,Hyderabad,328,19,1,Wallet,Android,Payment,22024.98,0,0.317,3,0
U5653,48175.82,Delhi,362,18,2,UPI,Web,Withdrawal,15698.06,1,0.135,5,0
U2964,16054.04,Chennai,1197,3,2,UPI,iOS,Payment,27592.58,0,0.403,7,0
U8017,27888.99,Chennai,131,1,4,NetBanking,Web,Withdrawal,11390.08,0,0.439,5,0
U3133,11719.56,Delhi,1092,20,1,UPI,Web,Withdrawal,26920.47,1,0.839,9,0
U8420,5495.23,Mumbai,231,23,3,UPI,Android,Transfer,16045.86,0,0.319,7,0
U3518,46864.56,Mumbai,733,22,3,Wallet,Android,Withdrawal,1667.98,0,0.114,3,0
U3910,38108.62,Hyderabad,588,3,1,UPI,Web,Transfer,10646.83,1,0.882,8,0
U7564,36030.65,Bangalore,1112,13,2,UPI,Web,Withdrawal,18050.22,0,0.701,3,0
U7371,36121.05,Bangalore,527,1,0,NetBanking,iOS,Payment,13715.55,0,0.452,1,0
U4769,2143.67,Bangalore,1769,22,0,NetBanking,iOS,Payment,19957.41,0,0.358,8,0
U3953,2651.02,Hyderabad,750,14,0,Wallet,Android,Transfer,8876.75,0,0.457,2,0
U1092,15093.72,Chennai,230,16,2,UPI,Web,Withdrawal,12588.11,0,0.361,5,0
U5844,31610.27,Chennai,681,5,2,Card,Android,Withdrawal,11837.32,0,0.098,1,0
U9544,22179.85,Hyderabad,484,19,4,Card,Web,Transfer,28809.71,0,0.427,2,0
U9423,8110.07,Bangalore,389,9,0,Card,Web,Transfer,4044.25,0,0.747,2,0
U2597,19955.31,Delhi,1533,19,4,Wallet,iOS,Withdrawal,8883.97,0,0.992,9,0
U5661,10577.62,Chennai,1264,17,2,NetBanking,Web,Payment,17657.93,0,0.844,3,0
U4719,24437.64,Delhi,1097,5,0,UPI,Web,Withdrawal,25435.25,0,0.154,5,0
U9449,26375.72,Hyderabad,540,17,3,NetBanking,iOS,Transfer,19297.29,1,0.239,4,0
U3249,39806.52,Delhi,1828,9,0,Card,Android,Payment,1300.89,0,0.884,5,0
U3546,2218.46,Mumbai,452,15,2,Card,iOS,Withdrawal,24129.11,0,0.396,8,1
U2310,49148.2,Hyderabad,263,5,2,Wallet,iOS,Withdrawal,1633.87,0,0.181,2,0
U1189,13798.2,Delhi,1765,21,0,NetBanking,Android,Withdrawal,3216.25,0,0.393,2,0
U9839,40874.02,Hyderabad,1375,5,3,UPI,iOS,Payment,14548.64,0,0.176,9,0
U8342,20015.99,Delhi,1890,22,3,Card,iOS,Withdrawal,11741.89,0,0.389,5,0
U8817,31139.56,Hyderabad,1076,2,3,UPI,Android,Transfer,5588.56,0,0.587,6,0
U2252,9211.06,Chennai,1355,23,4,UPI,iOS,Payment,28270.21,0,0.779,7,0
U5623,22104.45,Bangalore,295,7,2,Wallet,Android,Withdrawal,21577.47,0,0.98,6,0
U3671,33359.03,Mumbai,1145,15,0,UPI,Android,Transfer,9084.22,0,0.801,7,0
U7236,23287.02,Delhi,1645,1,2,UPI,Android,Withdrawal,19514.28,0,0.6,7,0
U1065,10288.97,Chennai,1112,11,4,Card,Web,Transfer,16989.49,1,0.554,2,0
U3511,9802.39,Bangalore,1952,14,3,UPI,Android,Payment,6613.56,0,0.074,5,0
U9189,25621.33,Delhi,207,17,2,Card,iOS,Transfer,5176.41,1,0.951,8,0
U2755,26900.13,Mumbai,1410,20,1,NetBanking,iOS,Transfer,27201.73,0,0.589,2,0
U8588,38483.97,Bangalore,10,5,3,NetBanking,iOS,Transfer,9129.83,0,0.133,5,0
U2740,12943.76,Hyderabad,1334,6,1,UPI,Android,Payment,24992.21,0,0.659,5,0
